composer
"Lacôme d'Estalenx, Paul"
"Ladukhin, Nikolay"
"Lafont, Charles Philippe"
"Lalande, Michel Richard de"
"Lalliet, Theodore"
"Lambert, Edward"
"Lamperti, Francesco"
"Lange Jr., Samuel de"
"Langgaard, Siegfried"
"Lassen, Eduard"
"Lassus, Orlande de"
"Latour, Theodore"
"Laub, Ferdinand"
"Laumer, Simon Benjamin"
"Lavallée, Calixa"
"Lavello, Rodolphe"
"Le Baron"
"Le Borne, Fernand"
"Lebrun, Ludwig August"
"Lebègue, Nicolas"
"Leclair, Jean-Marie"
"Lecocq, Charles"
"Leduc, Alphonse"
"Lee, Sebastian"
"Lefebvre, Charles"
"Lefébure-Wély, Louis James Alfred"
"Legnani, Luigi"
"Legrenzi, Giovanni"
"Lehmann, Lilli"
"Lemaigre, Edmond"
"Lemmens, Jacques-Nicolas"
"Lemoine, Henry"
"Lendvai, Erwin"
"Leo, Leonardo"
"Leroux, Xavier"
"Leschetizky, Theodor"
"Lewandowsky, Max"
"Leybach, Ignace Xavier Joseph"
"Lhoyer, Antoine de"
"Libon, Felipe"
"Lichner, Heinrich"
"Limmer, Franz"
"Lindegren, Johan"
"Lindeman, Ludvig Mathias"
"Lindner, August"
"Lipiński, Karol Józef"
"Litolff, Henry Charles"
"Locatelli, Pietro Antonio"
"Lochon, Jacques-François"
"Loeillet, John"
"Loeschhorn, Albert"
"Loewe, Johann Heinrich"
"Lolli, Antonio"
"Lorenz, J.H."
"Loret, Clément"
"Lotter, Adolf"
"Lotti, Antonio"
"Louis Ferdinand, Prince of Prussia"
"Loulié, L.A."
"Lowtzky, Hermann"
"Luigini, Alexandre"
"Lully, Jean-Baptiste"
"Luther, Martin"
"Lyapunov, Sergei"
"Lysenko, Mykola Vitalyovych"
"Léonard, Hubert"
"Lübeck, Vincent"
"MacDowell, Edward"
"Mackenzie, Alexander Campbell"
"Madetoja, Leevi"
"Maldere, Pierre van"
"Malherbe, Charles"
"Maliszewski, Witold"
"Malling, Otto"
"Mandel, Charles"
"Manfredini, Francesco Onofrio"
"Manookian, Jeff"
"Marais, Marin"
"Marcello, Benedetto"
"Marchand, Louis"
"Marchesi, Mathilde"
"Marenzio, Luca"
"Marescalchi, Luigi"
"Mariani, Luis Leandro"
